Uniprot_ID,HEK293,MCF10A,U2OS,HepG2 C3A
Q99873,1,0,0,0
Q9BQ04,1,0,1,0
Q9BQ39,1,0,0,0
Q9BQ52,1,0,1,0
Q9BQ61,1,0,0,0
Q9BQG0,1,1,1,1
Q9BRJ2,1,0,1,0
Q9BRP8,0,1,0,0
Q9BRZ2,1,1,1,0
Q9BSC4,1,1,1,0
Q9BTC0,1,1,1,0
Q9BTD8,1,0,1,0
Q9BU76,1,1,1,0
Q9BUJ2,1,1,1,1
Q9BUQ8,1,1,1,0
Q9BV44,1,0,1,0
Q9BVJ6,1,1,1,1
Q9BVP2,1,1,1,1
Q9BWF3,1,1,1,1
Q9BWU0,1,0,1,0
Q9BX40,1,1,1,0
Q9BXJ9,1,1,1,0
Q9BXP5,1,1,1,0
Q9BY44,1,1,1,0
Q9BY77,1,1,1,0
Q9BYD1,1,1,0,1
Q9BYD3,1,1,1,0
Q9BYG3,1,1,1,0
Q9BYJ9,1,0,1,0
Q9BYK8,1,1,1,0
Q9BZE1,1,1,1,1
Q9BZE4,1,1,1,1
Q9BZI7,0,1,0,0
Q9BZZ5,1,0,1,1
Q9C0B0,1,0,0,0
Q9C0C9,1,0,0,0
Q9C0J8,1,1,1,0
Q9GZR2,1,0,1,0
Q9GZR7,1,1,1,1
Q9GZT3,1,1,1,1
Q9H0A0,1,1,1,1
Q9H0D6,1,1,1,1
Q9H0G5,1,1,1,0
Q9H0L4,1,1,1,0
Q9H0S4,1,0,0,0
Q9H1E3,0,1,0,0
Q9H2U1,1,1,1,0
Q9H2Y7,1,0,0,0
Q9H307,1,1,1,1
Q9H501,1,1,1,0
Q9H583,1,0,1,0
Q9H6F5,1,0,0,0
Q9H6R4,1,1,1,0
Q9H6S0,1,0,0,0
Q9H7B2,1,0,0,0
Q9H7E2,0,1,0,0
Q9H7N4,1,1,0,0
Q9HAV4,1,1,1,0
Q9HCD5,1,1,0,0
Q9HCE1,1,1,1,1
Q9HCG8,1,1,1,1
Q9HCJ3,1,0,0,0
Q9NNW5,1,0,1,0
Q9NP92,0,1,0,0
Q9NPI6,1,1,0,0
Q9NQ29,1,1,1,0
Q9NQ55,1,1,1,1
Q9NQC3,0,1,0,0
Q9NR30,1,1,1,1
Q9NR56,1,1,1,0
Q9NRA8,1,1,0,0
Q9NRR4,1,0,0,0
Q9NRW3,0,1,0,0
Q9NRX1,0,0,1,0
Q9NSD9,1,1,1,0
Q9NSE4,1,1,1,1
Q9NTZ6,1,1,1,0
Q9NUD5,1,0,1,1
Q9NUL3,1,0,1,0
Q9NUL7,0,0,1,1
Q9NUQ6,0,1,1,1
Q9NV06,1,1,1,0
Q9NVN8,1,1,1,1
Q9NVP1,1,1,1,0
Q9NVV4,0,0,1,1
Q9NW13,1,1,1,1
Q9NW64,1,0,1,1
Q9NWH9,1,1,1,1
Q9NX24,1,1,1,1
Q9NX58,1,1,0,0
Q9NXG2,1,1,0,0
Q9NXH9,0,1,1,1
Q9NXV6,1,1,0,0
Q9NY61,1,0,0,0
Q9NY93,1,1,1,1
Q9NYF8,1,1,1,0
Q9NYH9,1,0,0,0
Q9NYL2,0,1,0,0
Q9NYY8,1,0,0,1
Q9NZB2,1,1,1,1
Q9NZM5,1,1,0,0
Q9P031,1,0,1,0
Q9P258,1,1,0,0
Q9P275,1,0,1,0
Q9P287,0,1,0,0
Q9P2E3,0,0,1,0
Q9P2E9,1,1,1,0
Q9P2I0,1,0,1,0
Q9P2N5,1,1,1,0
Q9UBB5,0,1,0,0
Q9UBU9,1,1,0,0
Q9UGP8,1,1,1,1
Q9UGR2,1,1,1,0
Q9UGU0,1,1,0,0
Q9UHB9,0,1,1,0
Q9UHX1,1,1,1,1
Q9UI10,1,1,0,0
Q9UIF9,1,0,1,0
Q9UJV9,1,0,0,0
Q9UK59,0,1,0,0
Q9UK61,1,0,0,0
Q9UKF6,1,0,0,0
Q9UKJ3,1,1,1,0
Q9UKM9,1,1,1,1
Q9UKV3,1,1,1,0
Q9UKV8,1,0,1,0
Q9ULX6,1,1,1,0
Q9UN86,1,1,1,0
Q9UNW9,1,0,1,0
Q9UNX3,1,1,0,0
Q9UNX4,1,0,1,1
Q9UPN3,1,1,1,0
Q9UPN6,1,1,1,0
Q9UPQ9,1,1,1,0
Q9UPT8,1,1,1,0
Q9UPY3,1,0,1,0
Q9UQ35,1,1,1,1
Q9UQ80,1,1,1,1
Q9Y262,0,1,1,0
Q9Y285,1,1,0,0
Q9Y2L1,1,1,0,0
Q9Y2R4,1,0,1,0
Q9Y2R9,1,1,1,1
Q9Y2W1,1,1,1,0
Q9Y2W2,1,1,1,0
Q9Y2X3,1,1,1,1
Q9Y314,1,0,0,0
Q9Y333,0,1,0,0
Q9Y383,1,1,1,0
Q9Y388,1,0,0,0
Q9Y3C1,1,1,1,0
Q9Y3F4,1,1,1,0
Q9Y3I0,1,1,1,0
Q9Y3T9,1,0,1,0
Q9Y3Y2,1,1,1,0
Q9Y4C8,1,1,1,1
Q9Y4P3,0,1,0,1
Q9Y4W2,1,1,1,0
Q9Y520,1,1,1,1
Q9Y580,0,0,1,0
Q9Y5A9,1,1,1,0
Q9Y5B9,1,1,1,0
Q9Y5J1,1,1,1,0
Q9Y6G3,1,1,0,1
Q9Y6G9,1,0,1,0
Q9Y6M1,1,1,1,1
Q9Y6Y8,1,1,1,0
Q9NZI8,0,0,0,1
A8MWD9; P62308,0,0,0,1
B5ME19; Q99613,0,0,0,1
O00299,0,0,0,1
O00425,0,0,0,1
O00461,0,0,0,1
O75683,0,0,0,1
P02786,0,0,0,1
P05783,0,0,0,1
P14625,0,0,0,1
P14678; P63162,0,0,0,1
P43243,0,0,0,1
P52756,0,0,0,1
P53597,0,0,0,1
P57723,0,0,0,1
P62318,0,0,0,1
Q01082,0,0,0,1
Q04837,0,0,0,1
Q12874,0,0,0,1
Q2M296,0,0,0,1
Q5JVS0,0,0,0,1
Q5VZF2; Q9NR56,0,0,0,1
Q6ZN17,0,0,0,1
Q7L1Q6,0,0,0,1
Q7L8L6,0,0,0,1
Q86TG7,0,0,0,1
Q86UP2,0,0,0,1
Q8TF01,0,0,0,1
Q969X6,0,0,0,1
Q96EL2,0,0,0,1
Q96RP9,0,0,0,1
Q9BYC9,0,0,0,1
Q9H0U6,0,0,0,1
Q9H6T0,0,0,0,1
Q9H8H0,0,0,0,1
Q9H9J2,0,0,0,1
Q9NQ94,0,0,0,1
Q9NUK0,0,0,0,1
Q9NVS2,0,0,0,1
Q9NY12,0,0,0,1
Q9P0M9,0,0,0,1
Q9Y3A5,0,0,0,1
Q9Y3B4,0,0,0,1
Q9Y3X0,0,0,0,1
Q9Y606,0,0,0,1
